"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K4";"HEADER-UPDI";1;"HEADER-UPDI";;;
2;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";48;"";;;
3;"R3,R4,R12,R6";"0402R";4;"100R";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"D2";"0402LED";1;"orange";;;
6;"U4";"SOIC-14";1;"ATTINY804";;;
7;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
8;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
9;"D3";"0402LED";1;"purple";;;
10;"K5,K6";"HEADER_MALE_8X1";2;"HEADER_MALE_8X1";;;
11;"U1";"SOP-16";1;"CH340C";;;
12;"K1";"easyC-connector";1;"easyC-SMD";;;
13;"D1";"0402LED";1;"blue";;;
14;"G***";"Symbol-Front-Battery";1;"LOGO";;;
15;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
16;"D5";"0402LED";1;"red";;;
17;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
18;"H1";"HOLE_3.2mm";1;"HOLE_3.2mm";;;
19;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
20;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
21;"G***";"Symbol-Front-USB";1;"LOGO";;;
22;"G***";"Logo-Back-SolderedFULL-10mm";1;"LOGO";;;
23;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
24;"R2,R1,R5";"0603R";3;"1k";;;
25;"C9,C1,C10,C2";"0603C";4;"0.1uF";;;
26;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
27;"";"Version1.0.0.";1;"";;;
28;"D6";"M4_DIODA";1;"M4_DIODA";;;
29;"R10";"0603R";1;"10k";;;
30;"C5,C3,C7,C8";"0603C";4;"2.2uF";;;
31;"R7,R8";"0603R";2;"5.1k";;;
32;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
33;"Q1";"SOT-23-3";1;"PMOS-SOT-23-3";;;
34;"R14";"0603R";1;"100k";;;
35;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
36;"C6";"0603C";1;"270pF";;;
37;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
38;"R11";"0603R";1;"3k";;;
39;"C4";"0603C";1;"1uF";;;
40;"D7";"SOD-323";1;"BAT20J";;;
